       name        |  cz  | error |       bibcode       |                  refs                   
-------------------+------+-------+---------------------+-----------------------------------------
 UGC12894          |  335 |    22 | 1992ApJS...81....5S | Schneider et al. 1992
 WLM               | -122 |     2 | 2004AJ....128...16K | Koribalski et al. 2004
 And XVIII         | -332 |     3 | 2012ApJ...752...45T | Tollerud et al. 2012
 ESO409-015        |  726 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 AGC748778         |  258 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 And XX            | -456 |     3 | 2012arXiv1211.2638W | Watkins et al. 2012
 UGC00064          |  305 |    17 | 2003A&A...406..829B | Braun et al. 2003
 ESO349-031        |  221 |     6 | 2004AJ....128...16K | Koribalski et al. 2004
 NGC0024           |  550 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 NGC0045           |  465 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 NGC0055           |  129 |     2 | 2004AJ....128...16K | Koribalski et al. 2004
 NGC0059           |  361 |     2 | 2000A&AS..141..469H | Huchtmeier et al. 2000
 ESO410-005        |   36 |     2 | 2012HI............K | Koribalski 2012
 And XIX           | -111 |     1 | 2012arXiv1211.2638W | Watkins et al. 2012
 IC0010            | -346 |     6 | 1979A&A....75..170H | Huchtmeier 1979
 And XXVI          | -261 |     4 | 2012arXiv1211.2638W | Watkins et al. 2012
 Cetus             |  -87 |     2 | 2007MNRAS.375.1364L | Lewis et al. 2007
 ESO294-010        |  107 |     1 | 2005AJ....130.2058B | Bouchard et al. 2005
 UGC00288          |  187 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 And XXV           | -108 |     1 | 2012arXiv1211.2638W | Watkins et al. 2012
 ESO473-024        |  530 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 NGC0147           | -193 |     3 | 1991A&A...246..349B | Bender et al. 1991
 And III           | -346 |     2 | 2010ApJ...711..671K | Kalirai et al. 2010
 And XXX           | -141 |     6 | 2012arXiv1211.2638W | Watkins et al. 2012
 And XVII          | -251 |     2 | 2012arXiv1211.2638W | Watkins et al. 2012
 And XXVII         | -535 |     5 | 2012arXiv1211.2638W | Watkins et al. 2012
 NGC0185           | -203 |     1 | 1997ApJ...476..127Y | Young et al. 1997
 NGC0205           | -221 |     1 | 1997ApJ...476..127Y | Young et al. 1997
 And IV            |  237 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 MESSIER032        | -202 |    10 | 2002A&A...384..371S | Simien et al. 2002
 MESSIER031        | -296 |    15 | 1975MNRAS.170..503D | Dean et al. 1975
 DDO226            |  359 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 And I             | -376 |     1 | 2010ApJ...711..671K | Kalirai et al. 2010
 And XI            | -419 |     6 | 2010MNRAS.407.2411C | Collins et al. 2010
 NGC0247           |  161 |    10 | 1990AJ....100..641C | Carignan et al. 1990
 And XII           | -556 |       | 2007ApJ...662L..79C | Chapman et al. 2007
 NGC0253           |  243 |     2 | 2004AJ....128...16K | Koribalski et al. 2004
 KDG002            |  224 |     3 | 2005AJ....130.2058B | Bouchard et al. 2005
 DDO006            |  292 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 ESO540-032        |  228 |     1 | 2005AJ....130.2058B | Bouchard et al. 2005
 Bol520            | -312 |    17 | 2007A&A...471..127G | Galleti et al. 2007
 And XIV           | -481 |     2 | 2010ApJ...711..671K | Kalirai et al. 2010
 And XIII          | -195 |     8 | 2010MNRAS.407.2411C | Collins et al. 2010
 SMC               |  158 |     4 | 1987A&A...171...33R | Richter et al. 1987
 And IX            | -216 |     3 | 2007ApJ...662L..79C | Chapman et al. 2007
 NGC0300           |  146 |     2 | 2004AJ....128...16K | Koribalski et al. 2004
 And XVI           | -385 |     6 | 2009MNRAS.400.1472L | Letarte et al. 2009
 Sculptor          |  105 |     0 | 2006AJ....131.2913B | Bouchard et al. 2006
 LGS 3             | -286 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 IC1613            | -232 |     2 | 1996ApJS..105..269H | Hoffman et al. 1996
 And X             | -164 |     1 | 2010ApJ...711..671K | Kalirai et al. 2010
 UGC00685          |  156 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 KKH5              |   61 |     8 | 2001A&A...366..428K | Karachentsev et al. 2001
 AM0106-382        |  645 |    10 | 1997AJ....114.1313C | Cote et al. 1997
 NGC0404           |  -50 |    11 | 1976A&A....48..405B | Baars et al. 1976
 And V             | -403 |     4 | 2000ApJ...540L...9E | Evans et al. 2000
 And XV            | -323 |     1 | 2012ApJ...752...45T | Tollerud et al. 2012
 And II            | -194 |     1 | 2010ApJ...711..671K | Kalirai et al. 2010
 And XXIV          | -128 |     5 | 2012arXiv1211.2638W | Watkins et al. 2012
 And XXII          | -127 |     3 | 2012ApJ...752...45T | Tollerud et al. 2012
 UGC01056          |  595 |    16 | 2005ApJS..160..149S | Springob et al. 2005
 And XXIII         | -243 |     1 | 2012arXiv1211.2638W | Watkins et al. 2012
 UGC01104          |  688 |    17 | 2005ApJS..160..149S | Springob et al. 2005
 MESSIER033        | -182 |     1 | 2011AJ....142..170H | Haynes et al. 2011
 KKH6              |   60 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 NGC0625           |  395 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 NGC0628           |  657 |     1 | 2011AJ....142..170H | Haynes et al. 2011
 UGC01171          |  738 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 DDO013            |  631 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 AGC112521         |  274 |     0 | 2011AJ....142..170H | Haynes et al. 2011
 KK13              |  357 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 KDG010            |  789 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 KK14              |  420 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 ESO245-005        |  393 |     1 | 2012MNRAS.420.2924K | Kirby et al. 2012
 KK15              |  366 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 IC1727            |  336 |     1 | 2011AJ....142..170H | Haynes et al. 2011
 NGC0672           |  429 |     2 | 2011AJ....142..170H | Haynes et al. 2011
 UGC01281          |  157 |     2 | 1996ApJS..105..269H | Hoffman et al. 1996
 Phoenix           |  -52 |     6 | 2001AJ....121.2572G | Gallart et al. 2001
 KK16              |  207 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 KK17              |  168 |     2 | 2003A&A...401..483H | Huchtmeier et al. 2003
 NGC0784           |  193 |     1 | 2011AJ....142..170H | Haynes et al. 2011
 UGC1561           |  606 |     1 | 2011AJ....142..170H | Haynes et al. 2011
 Cas1              |   35 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 NGC0855           |  591 |     4 | 2011AJ....142..170H | Haynes et al. 2011
 Segue 2           |  -39 |     2 | 2009MNRAS.397.1748B | Belokurov et al. 2009
 NGC0891           |  526 |     7 | 1987MNRAS.224..953S | Staveley-Smith et al. 1987
 KKH11             |  296 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 DDO019            |  577 |    22 | 1981ApJS...47..139F | Fisher et al. 1981
 d0226+3325        |  520 |       | 1998AJ....115..975P | Pisano et al. 1998
 NGC0925           |  553 |     8 | 2005ApJS..160..149S | Springob et al. 2005
 Halogas           |  528 |       | 2010HI............H | Heald 2010
 KKH12             |   70 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 DDO022            |  570 |    22 | 1981ApJS...47..139F | Fisher et al. 1981
 DDO025            |  604 |    16 | 1990ApJS...72..245S | Schneider et al. 1990
 DDO024            |  581 |    22 | 1981ApJS...47..139F | Fisher et al. 1981
 MB1               |  190 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 Maffei1           |   66 |     5 | 2003ApJ...587..672F | Fingerhut et al. 2003
 ESO115-021        |  515 |     2 | 2004AJ....128...16K | Koribalski et al. 2004
 Fornax            |   29 |     1 | 2006AJ....131.2913B | Bouchard et al. 2006
 Maffei2           |  -15 |     7 | 1973MNRAS.165..213L | Lewis et al. 1973
 UGC02172          |  565 |    17 | 2003A&A...406..829B | Braun et al. 2003
 AGC122226         |  472 |     0 | 2011AJ....142..170H | Haynes et al. 2011
 Dw2               |   94 |     2 | 1996A&A...309..687B | Burton et al. 1996
 MB3               |   59 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 ESO154-023        |  574 |     2 | 2004AJ....128...16K | Koribalski et al. 2004
 Dw1               |  112 |     2 | 2000A&AS..141..469H | Huchtmeier et al. 2000
 ESO199-007        |  630 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 NGC1156           |  373 |     1 | 2011AJ....142..170H | Haynes et al. 2011
 LV J0300+2546     |  308 |     3 | 2010AJ....140.1093M | Minchin et al. 2010
 KKH18             |  216 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 ESO300-014        |  955 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 ESO300-016        |  710 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 NGC1291           |  838 |     3 | 2004AJ....128...16K | Koribalski et al. 2004
 NGC1313           |  470 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 NGC1311           |  571 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 UGC02684          |  350 |     4 | 2005ApJS..160..149S | Springob et al. 2005
 KK27              |  533 |       | 2012HI............K | Koribalski 2012
 UGC02716          |  381 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 UGC02773          |  216 |     1 | 2000A&AS..141..469H | Huchtmeier et al. 2000
 IC1959            |  640 |     4 | 2004AJ....128...16K | Koribalski et al. 2004
 PGC013294         |  744 |    42 | 20096dF...C...0000J | Jones et al. 2009
 NGC1400           |  569 |    11 | 2003AJ....126.2268W | Wegner et al. 2003
 KK35              |  -66 |     3 | 2003A&A...405..951M | Makarov et al. 2003
 IC0342            |   29 |     0 | 2000AJ....119.1720C | Crosthwaite et al. 2000
 UGC02905          |  292 |    16 | 2005ApJS..160..149S | Springob et al. 2005
 UGCA086           |   72 |     5 | 2005ApJ...625..130S | Stil et al. 2005
 IC2038            |  712 |    52 | 1991ApJS...75..935D | da Costa et al. 1991
 NGC1533           |  785 |     8 | 2004AJ....128...16K | Koribalski et al. 2004
 ESO483-013        |  898 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 CamA              |  -54 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 NGC1592           |  945 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 NGC1569           |  -86 |     3 | 2008AJ....136.2563W | Walter et al. 2008
 UGCA092           |  -95 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 NGC1560           |  -36 |     1 | 1992A&A...256...19B | Broeils 1992
 NGC1637           |  713 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 CamB              |   78 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 NGC1705           |  628 |     9 | 1992AJ....103...60M | Meurer et al. 1992
 HIPASS J0457-42   |  657 |     5 | 2004AJ....128...16K | Koribalski et al. 2004
 NGC1744           |  741 |     2 | 2004AJ....128...16K | Koribalski et al. 2004
 ESO486-021        |  831 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 NGC1800           |  814 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 UGCA105           |  113 |    22 | 2005ApJS..160..149S | Springob et al. 2005
 LMC               |  278 |     2 | 1992ApJS...83...29S | Strauss et al. 1992
 UGC03303          |  519 |    22 | 1991A&AS...87..425R | Richter et al. 1991
 ESO553-046        |  541 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 KK49              |  455 |     2 | 2000A&AS..141..469H | Huchtmeier et al. 2000
 Orion             |  368 |     1 | 2010AJ....139.2170C | Cannon et al. 2010
 A0554+07          |  428 |     1 | 2003A&A...401..483H | Huchtmeier et al. 2003
 KKH34             |  106 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 ESO364-029        |  787 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 HIPASS J0607-34   |  765 |     3 | 2012MNRAS.420.2924K | Kirby et al. 2012
 NGC2188           |  745 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 ESO121-020        |  587 |     2 | 2012MNRAS.420.2924K | Kirby et al. 2012
 LV J0616-5745     |  554 |     4 | 2006AJ....131.2056W | Warren et al. 2006
 UGCA127           |  732 |     2 | 2004AJ....128...16K | Koribalski et al. 2004
 WHI B0619-07      |  759 |     1 | 2007AJ....134.1849W | Warren et al. 2007
 ESO489-056        |  492 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 HIPASS J0630+08   |  367 |     1 | 2005AJ....129..220D | Donley et al. 2005
 UGC03475          |  487 |    22 | 1981ApJS...47..139F | Fisher et al. 1981
 UGC03476          |  469 |    22 | 1992ApJS...81....5S | Schneider et al. 1992
 ESO490-017        |  505 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 CGMW1-260         |  746 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 UGC03501          |  451 |     0 | 1979ApJ...231..327T | Thuan et al. 1979
 KK55              |  824 |     2 | 2012MNRAS.420.2924K | Kirby et al. 2012
 Carina            |  224 |     3 | 2006AJ....131.2913B | Bouchard et al. 2006
 IC2171            |  789 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 NGC2283           |  841 |     3 | 2004AJ....128...16K | Koribalski et al. 2004
 KKSG9             |  693 |     6 | 2004AJ....128...16K | Koribalski et al. 2004
 KKH37             |   11 |     7 | 2003A&A...405..951M | Makarov et al. 2003
 KKH38             |  451 |     8 | 2001A&A...366..428K | Karachentsev et al. 2001
 UGC03600          |  398 |     0 | 1979ApJ...231..327T | Thuan et al. 1979
 HIZSS003          |  298 |     3 | 2004AJ....128...16K | Koribalski et al. 2004
 FG202             |  564 |     1 | 2012MNRAS.420.2924K | Kirby et al. 2012
 HIPASS J0705-20   |  766 |     2 | 2004AJ....128...16K | Koribalski et al. 2004
 ESO558-011        |  731 |    18 | 2005MNRAS.361...34D | Doyle et al. 2005
 UGC03698          |  421 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 NGC2337           |  433 |    22 | 1981ApJS...47..139F | Fisher et al. 1981
 UGC03755          |  311 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 UGC03817          |  437 |     0 | 2003A&A...401..483H | Huchtmeier et al. 2003
 HIZSS008          |  800 |     8 | 2004AJ....128...16K | Koribalski et al. 2004
 DDO043            |  353 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
 NGC2366           |   96 |     0 | 1981ApJ...247..823T | Thuan et al. 1981
 HIZSS012          |  779 |    10 | 2004AJ....128...16K | Koribalski et al. 2004
 ESO059-001        |  530 |     3 | 2012MNRAS.420.2924K | Kirby et al. 2012
 DDO044            |  213 |    25 | 2011MNRAS.415L..31K | Karachentsev et al. 2011
 AGC174585         |  356 |     3 | 2011AJ....142..170H | Haynes et al. 2011
 HIZSS014          |  786 |     4 | 2004AJ....128...16K | Koribalski et al. 2004
 NGC2403           |  125 |    17 | 1986A&AS...66..505W | Wevers et al. 1986
 LV J0737+4724     |  404 |    67 | 2007SDSS6.C...0000: | Sloan Digital Sky Survey Team 2007
 DDO046            |  364 |     5 | 2005ApJS..160..149S | Springob et al. 2005
 DDO047            |  270 |     2 | 1996ApJS..105..269H | Hoffman et al. 1996
 KK65              |  281 |     2 | 2008MNRAS.386.1667B | Begum et al. 2008
