name      - the name of the galaxy;
a_26      - linear diameter of the galaxy in kpc, determined at Holmberg's isophote (26.5 mag/square arcsec);
m_b       - absolute magnitude of the galaxy in the B-band corrected for extinction;
log_lk    - logarithm of the stellar mass in solar units;
log_m26   - logarithm of the indicative (dynamic) mass within the Holmberg diameter; 
log_mhi   - logarithm of the hydrogen mass in solar units;
ti1       - tidal index $\Theta_1$;
md        - Main Disturber's name;
D         - distance to the galaxy in Mpc;
delta_vlg - line-of-sight velocity of the galaxy (in km s$^{-1}$) relative to the velocity of MD;
count     - number of members in the suite of MD, to which the galaxy belongs.
 
       name        | a_26  |  m_b  | log_lk | log_m26 | log_mhi | vlg  | ti1  |       md        |   D   | delta_vlg | count 
-------------------+-------+-------+--------+---------+---------+------+------+-----------------+-------+-----------+-------
 HolmIX            |  2.96 | -13.6 |   7.70 |    8.53 |  8.40   |  192 |  5.1 | MESSIER081      |  3.61 |        88 |    53
 ClumpI            |  0.20 |  -8.3 |   5.57 |         |         |  -25 |  4.2 | MESSIER081      |  3.60 |      -129 |    53
 KDG061            |  1.55 | -12.9 |   8.09 |         |         |  360 |  4.0 | MESSIER081      |  3.60 |       256 |    53
 [CKT2009]d0959+68 |  0.88 | -10.1 |   6.29 |         |         |  -46 |  4.0 | MESSIER081      |  3.60 |      -150 |    53
 ClumpIII          |  0.11 |  -8.3 |   5.57 |         |         |   19 |  3.9 | MESSIER081      |  3.60 |       -85 |    53
 NGC2976           |  6.17 | -17.1 |   9.42 |    9.15 |  8.03   |  142 |  2.9 | MESSIER081      |  3.56 |        38 |    53
 MESSIER082        | 13.16 | -19.6 |  10.57 |    9.86 |  8.95   |  328 |  2.8 | MESSIER081      |  3.53 |       224 |    53
 KDG064            |  2.19 | -12.6 |   7.98 |         |         |  121 |  2.7 | MESSIER081      |  3.70 |        17 |    53
 [CKT2009]d0934+70 |  0.87 |  -9.6 |   6.80 |         |         |      |  2.5 | MESSIER081      |  3.66 |           |    53
 IKN               |  3.15 | -11.6 |   7.60 |         | <6.20   |   -1 |  2.5 | MESSIER081      |  3.75 |      -105 |    53
 HIJASS J1021+6842 |       |       |        |         |  7.51   |  187 |  2.3 | MESSIER081      |  3.70 |        83 |    53
 [CKT2009]d0939+71 |  0.38 |  -8.4 |   5.60 |         |         |      |  2.3 | MESSIER081      |  3.63 |           |    53
 KK77              |  2.89 | -12.0 |   7.76 |         | <6.14   |      |  2.2 | MESSIER081      |  3.48 |           |    53
 F8D1              |  2.70 | -12.6 |   7.99 |         | <6.20   |    8 |  2.2 | MESSIER081      |  3.77 |       -96 |    53
 KDG063            |  2.18 | -12.1 |   7.80 |    6.70 |  6.91   |    0 |  2.0 | MESSIER081      |  3.50 |      -104 |    53
 DDO078            |  2.23 | -11.5 |   7.54 |         |         |  191 |  1.9 | MESSIER081      |  3.72 |        87 |    53
 HolmI             |  5.29 | -14.5 |   8.01 |    7.95 |  8.01   |  291 |  1.7 | MESSIER081      |  3.84 |       187 |    53
 [CKT2009]d1006+67 |  0.39 |  -8.5 |   6.37 |         |         |      |  1.6 | MESSIER081      |  3.87 |           |    53
 [CKT2009]d0955+70 |  0.48 |  -9.1 |   6.60 |         |         |      |  1.5 | MESSIER081      |  3.93 |           |    53
 KDG073            |  1.29 | -10.8 |   6.56 |    6.39 |  6.51   |  263 |  1.4 | MESSIER081      |  3.70 |       159 |    53
 UGC05497          |  0.96 | -12.3 |   7.18 |    6.11 |  6.02   |  267 |  1.4 | MESSIER081      |  3.70 |       163 |    53
 [CKT2009]d0926+70 |  0.56 | -10.0 |   6.24 |         | <5.64   |      |  1.3 | MESSIER081      |  3.93 |           |    53
 [CKT2009]d0944+69 |  0.26 |  -7.4 |   5.92 |         |         |      |  1.3 | MESSIER081      |  3.98 |           |    53
 BK6N              |  1.23 | -11.1 |   7.38 |         |         |      |  1.2 | MESSIER081      |  3.85 |           |    53
 HS117             |  1.90 | -11.2 |   6.72 |    6.25 |  5.01   |  116 |  1.2 | MESSIER081      |  3.96 |        12 |    53
 BK3N              |  0.40 |  -9.6 |   6.09 |    5.82 |  7.26   |  101 |  1.2 | MESSIER081      |  4.02 |        -3 |    53
 [CKT2009]d1041+70 |  0.41 |  -8.7 |   5.71 |         | <5.28   |      |  1.2 | MESSIER081      |  3.91 |           |    53
 DDO082            |  4.02 | -14.7 |   8.41 |         | <6.06   |  207 |  1.1 | MESSIER081      |  4.00 |       103 |    53
 [CKT2009]d0958+66 |  1.06 | -12.3 |   7.17 |    5.98 |  5.92   |  221 |  1.0 | MESSIER081      |  4.04 |       117 |    53
